config_name,checkpoint_step,mean_test_success_rate,mean_test_avg_return,mean_first_success_step,n
config_B,2330000,0.8800000000000001,61.68793717460079,49.69,5
config_B,2340000,0.8800000000000001,61.32294882146475,50.39333333333333,5
config_B,2280000,0.8800000000000001,61.18851231134577,49.983333333333334,5
config_B,2270000,0.8800000000000001,60.6373228571282,49.4,5
config_B,2300000,0.8800000000000001,60.34655450785972,50.31,5
config_B,1960000,0.8800000000000001,60.15673868148332,54.36333333333333,5
config_B,2020000,0.8800000000000001,59.68241096246891,50.44666666666667,5
config_B,2290000,0.8800000000000001,59.66600946329206,50.776666666666664,5
config_B,2060000,0.8800000000000001,59.521488068086896,48.6,5
config_B,2310000,0.8800000000000001,59.49716699951373,50.21,5
config_B,2230000,0.8800000000000001,59.155104996173044,48.839999999999996,5
config_D,2260000,0.8800000000000001,58.72028550878415,49.85666666666667,5
config_B,2390000,0.8800000000000001,58.594517667987304,48.376666666666665,5
config_B,2260000,0.8800000000000001,58.41100371451573,48.95666666666666,5
config_B,1990000,0.8800000000000001,58.31238031772337,50.75666666666667,5
config_D,2310000,0.8800000000000001,58.050844584744894,47.37,5
config_B,2070000,0.8800000000000001,57.81643432489047,48.84333333333333,5
config_D,2200000,0.8800000000000001,57.41763429772975,46.61333333333333,5
config_B,2240000,0.8800000000000001,57.401607115295135,48.63333333333333,5
config_B,2040000,0.8800000000000001,57.08616197814259,49.88666666666667,5
config_B,2250000,0.8800000000000001,55.89749211097698,48.75,5
config_D,2180000,0.8800000000000001,54.630214477174874,50.04333333333333,5
config_B,2050000,0.8800000000000001,54.61816999410185,50.243333333333325,5
config_B,1130000,0.8400000000000001,445.3227613192703,91.94666666666667,5
config_B,1170000,0.8400000000000001,245.59422052250846,80.59333333333333,5
config_D,1980000,0.8400000000000001,221.1316699167202,53.38666666666667,5
config_D,2410000,0.8400000000000001,156.91583654007883,47.52333333333333,5
config_B,1480000,0.8400000000000001,149.17669082538202,53.92,5
config_B,1190000,0.8400000000000001,137.15292989881203,83.81666666666668,5
config_B,1490000,0.8400000000000001,106.51844674308583,52.42999999999999,5
config_B,1500000,0.8400000000000001,73.96003405643202,52.29,5
config_B,1420000,0.8400000000000001,73.67800566053903,54.7,5
config_B,1440000,0.8400000000000001,70.54068295744472,55.32000000000001,5
config_B,1900000,0.8400000000000001,63.96362879218566,54.55,5
config_B,1910000,0.8400000000000001,63.780399721132156,54.17,5
config_D,2240000,0.8400000000000001,61.99028400897403,48.4,5
config_B,1980000,0.8400000000000001,61.434940090779186,49.35,5
config_D,2250000,0.8400000000000001,61.42218405671382,50.57,5
config_D,2280000,0.8400000000000001,58.67780470227024,46.81,5
config_D,2230000,0.8400000000000001,57.957881408830474,46.18,5
config_B,1970000,0.8400000000000001,57.09778155293198,49.95,5
config_D,2130000,0.8400000000000001,54.96214402310919,49.016666666666666,5
config_D,2220000,0.8400000000000001,52.35642662975833,49.736666666666665,5
config_D,2140000,0.8400000000000001,50.4384700872906,49.28,5
config_D,2210000,0.8400000000000001,50.03901479528876,58.026666666666664,5
config_B,1090000,0.8,559.1143444603456,102.26333333333335,5
config_B,1100000,0.8,435.33537811876306,85.22999999999999,5
config_B,1120000,0.8,430.6779934606314,84.78999999999999,5
config_D,1530000,0.8,318.58106589640346,56.699999999999996,5
config_D,1540000,0.8,313.6728406651272,52.849999999999994,5
config_D,1230000,0.8,285.7603528579339,53.75,5
config_D,1620000,0.8,239.21234289114108,49.78,5
config_D,1450000,0.8,219.33574356239902,52.720000000000006,5
config_B,1180000,0.8,188.07943441415142,122.83,5
config_D,2090000,0.8,167.6158254795842,52.69,5
config_A,2240000,0.8,134.25184158148593,61.56,5
config_D,1150000,0.8,127.64159088305296,74.72999999999999,5
config_A,2260000,0.8,127.47937465104842,59.589999999999996,5
config_A,2220000,0.8,125.04328181201925,58.67999999999999,5
config_D,2120000,0.8,63.627864796766076,49.66666666666667,5
config_D,2160000,0.8,55.88480981882303,48.269999999999996,5
config_D,2150000,0.8,54.897812994685694,59.98,5
config_B,1070000,0.76,785.357257755748,143.58,5
config_B,1080000,0.76,524.3912401303043,154.44333333333333,5
config_B,1140000,0.76,314.9282670027545,123.37333333333333,5
config_D,1520000,0.76,304.22221460687797,53.0,5
config_D,1970000,0.76,296.0288086204451,53.95,5
config_D,1210000,0.76,280.83091270857005,55.125,5
config_D,1220000,0.76,280.3357106302386,52.5125,5
config_D,1240000,0.76,276.7122050985647,53.150000000000006,5
